Gene stable ID	Transcript stable ID	Gene description	GO term accession	GO term name
AAEL007787	AAEL007787-RA	5-aminolevulinic acid synthase [Source:VB Community Annotation]	GO:0030170	pyridoxal phosphate binding
AAEL007787	AAEL007787-RA	5-aminolevulinic acid synthase [Source:VB Community Annotation]	GO:0033014	tetrapyrrole biosynthetic process
AAEL007787	AAEL007787-RA	5-aminolevulinic acid synthase [Source:VB Community Annotation]	GO:0009058	biosynthetic process
AAEL007787	AAEL007787-RA	5-aminolevulinic acid synthase [Source:VB Community Annotation]	GO:0005759	mitochondrial matrix
AAEL007787	AAEL007787-RA	5-aminolevulinic acid synthase [Source:VB Community Annotation]	GO:0003870	5-aminolevulinate synthase activity
AAEL007787	AAEL007787-RA	5-aminolevulinic acid synthase [Source:VB Community Annotation]	GO:0006782	protoporphyrinogen IX biosynthetic process
AAEL014236	AAEL014236-RA			
AAEL008487	AAEL008487-RA	latisemin, putative [Source:VB Community Annotation]	GO:0005576	extracellular region
AAEL004725	AAEL004725-RA			
AAEL011138	AAEL011138-RA			
AAEL000967	AAEL000967-RA	tmc7 protein [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL005800	AAEL005800-RA	Clip-Domain Serine Protease  family E. Protease homologue. [Source:VB Community Annotation]	GO:0006508	proteolysis
AAEL005800	AAEL005800-RA	Clip-Domain Serine Protease  family E. Protease homologue. [Source:VB Community Annotation]	GO:0004252	serine-type endopeptidase activity
AAEL012820	AAEL012820-RA		GO:0016021	integral component of membrane
AAEL011901	AAEL011901-RA	1-acyl-sn-glycerol-3-phosphate acyltransferase [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL011901	AAEL011901-RA	1-acyl-sn-glycerol-3-phosphate acyltransferase [Source:VB Community Annotation]	GO:0016746	transferase activity, transferring acyl groups
AAEL011901	AAEL011901-RA	1-acyl-sn-glycerol-3-phosphate acyltransferase [Source:VB Community Annotation]	GO:0008152	metabolic process
AAEL001783	AAEL001783-RA	MSF1 protein, putative [Source:VB Community Annotation]		
AAEL012610	AAEL012610-RA			
AAEL000861	AAEL000861-RA			
AAEL009579	AAEL009579-RA	NBP2b protein, putative [Source:VB Community Annotation]	GO:0006364	rRNA processing
AAEL009579	AAEL009579-RA	NBP2b protein, putative [Source:VB Community Annotation]	GO:0005730	nucleolus
AAEL009579	AAEL009579-RA	NBP2b protein, putative [Source:VB Community Annotation]	GO:0032040	small-subunit processome
AAEL001283	AAEL001283-RA		GO:0005515	protein binding
AAEL012728	AAEL012728-RA		GO:0005576	extracellular region
AAEL012728	AAEL012728-RA		GO:0008061	chitin binding
AAEL012728	AAEL012728-RA		GO:0006030	chitin metabolic process
AAEL001622	AAEL001622-RA	dual specificity mitogen-activated protein kinase kinase MAPKK [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL001622	AAEL001622-RA	dual specificity mitogen-activated protein kinase kinase MAPKK [Source:VB Community Annotation]	GO:0006468	protein phosphorylation
AAEL001622	AAEL001622-RA	dual specificity mitogen-activated protein kinase kinase MAPKK [Source:VB Community Annotation]	GO:0004674	protein serine/threonine kinase activity
AAEL001622	AAEL001622-RA	dual specificity mitogen-activated protein kinase kinase MAPKK [Source:VB Community Annotation]	GO:0004672	protein kinase activity
AAEL012063	AAEL012063-RA		GO:0015631	tubulin binding
AAEL012063	AAEL012063-RA		GO:0060271	cilium assembly
AAEL012063	AAEL012063-RA		GO:0042073	intraciliary transport
AAEL012063	AAEL012063-RA		GO:0030992	intraciliary transport particle B
AAEL012063	AAEL012063-RA		GO:0005929	cilium
AAEL005487	AAEL005487-RA	cysteine-rich venom protein, putative [Source:VB Community Annotation]		
AAEL009498	AAEL009498-RA			
AAEL005893	AAEL005893-RA			
AAEL001316	AAEL001316-RA			
AAEL008719	AAEL008719-RA	Sm protein G, putative [Source:VB Community Annotation]	GO:0005681	spliceosomal complex
AAEL008719	AAEL008719-RA	Sm protein G, putative [Source:VB Community Annotation]	GO:0000387	spliceosomal snRNP assembly
AAEL010702	AAEL010702-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:Q16S49]	GO:0016020	membrane
AAEL010702	AAEL010702-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:Q16S49]	GO:0016021	integral component of membrane
AAEL010702	AAEL010702-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:Q16S49]	GO:0005886	plasma membrane
AAEL010702	AAEL010702-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:Q16S49]	GO:0004984	olfactory receptor activity
AAEL010702	AAEL010702-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:Q16S49]	GO:0005549	odorant binding
AAEL010702	AAEL010702-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:Q16S49]	GO:0007608	sensory perception of smell
AAEL017510	AAEL017510-RA	odorant receptor - partial [Source:VB Community Annotation]	GO:0016020	membrane
AAEL017510	AAEL017510-RA	odorant receptor - partial [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL017510	AAEL017510-RA	odorant receptor - partial [Source:VB Community Annotation]	GO:0004984	olfactory receptor activity
AAEL017510	AAEL017510-RA	odorant receptor - partial [Source:VB Community Annotation]	GO:0005549	odorant binding
AAEL017510	AAEL017510-RA	odorant receptor - partial [Source:VB Community Annotation]	GO:0007608	sensory perception of smell
AAEL000663	AAEL000663-RA			
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0006355	regulation of transcription, DNA-templated
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0005634	nucleus
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0006468	protein phosphorylation
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0006468	protein phosphorylation
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0006351	transcription, DNA-templated
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0004674	protein serine/threonine kinase activity
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0004672	protein kinase activity
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0000082	G1/S transition of mitotic cell cycle
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0008353	RNA polymerase II carboxy-terminal domain kinase activity
AAEL002395	AAEL002395-RA	Cyclin-dependent kinase (Cdk8) [Source:VB Community Annotation]	GO:0004693	cyclin-dependent protein serine/threonine kinase activity
AAEL015240	AAEL015240-RA			
AAEL005413	AAEL005413-RA	mitochondrial ribosomal protein, S11, putative [Source:VB Community Annotation]	GO:0003735	structural constituent of ribosome
AAEL005413	AAEL005413-RA	mitochondrial ribosomal protein, S11, putative [Source:VB Community Annotation]	GO:0006412	translation
AAEL005413	AAEL005413-RA	mitochondrial ribosomal protein, S11, putative [Source:VB Community Annotation]	GO:0005840	ribosome
AAEL005413	AAEL005413-RB	mitochondrial ribosomal protein, S11, putative [Source:VB Community Annotation]	GO:0003735	structural constituent of ribosome
AAEL005413	AAEL005413-RB	mitochondrial ribosomal protein, S11, putative [Source:VB Community Annotation]	GO:0006412	translation
AAEL005413	AAEL005413-RB	mitochondrial ribosomal protein, S11, putative [Source:VB Community Annotation]	GO:0005840	ribosome
AAEL013783	AAEL013783-RB	protein farnesyltransferase alpha subunit [Source:VB Community Annotation]	GO:0008318	protein prenyltransferase activity
AAEL013783	AAEL013783-RB	protein farnesyltransferase alpha subunit [Source:VB Community Annotation]	GO:0018342	protein prenylation
AAEL013783	AAEL013783-RA	protein farnesyltransferase alpha subunit [Source:VB Community Annotation]	GO:0008318	protein prenyltransferase activity
AAEL013783	AAEL013783-RA	protein farnesyltransferase alpha subunit [Source:VB Community Annotation]	GO:0018342	protein prenylation
AAEL009556	AAEL009556-RA	Niemann-Pick Type C-2, putative [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL009556	AAEL009556-RA	Niemann-Pick Type C-2, putative [Source:VB Community Annotation]	GO:0032367	intracellular cholesterol transport
AAEL006117	AAEL006117-RA	39S ribosomal protein L12, mitochondrial [Source:VB Community Annotation]	GO:0003735	structural constituent of ribosome
AAEL006117	AAEL006117-RA	39S ribosomal protein L12, mitochondrial [Source:VB Community Annotation]	GO:0006412	translation
AAEL006117	AAEL006117-RA	39S ribosomal protein L12, mitochondrial [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL006117	AAEL006117-RA	39S ribosomal protein L12, mitochondrial [Source:VB Community Annotation]	GO:0005840	ribosome
AAEL007576	AAEL007576-RA		GO:0016021	integral component of membrane
AAEL006376	AAEL006376-RA	trypsin, putative [Source:VB Community Annotation]	GO:0006508	proteolysis
AAEL006376	AAEL006376-RA	trypsin, putative [Source:VB Community Annotation]	GO:0004252	serine-type endopeptidase activity
AAEL007015	AAEL007015-RA		GO:0016021	integral component of membrane
AAEL007015	AAEL007015-RB		GO:0016021	integral component of membrane
AAEL005129	AAEL005129-RA	40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:Q17B17]	GO:0003735	structural constituent of ribosome
AAEL005129	AAEL005129-RA	40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:Q17B17]	GO:0006412	translation
AAEL005129	AAEL005129-RA	40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:Q17B17]	GO:0005622	intracellular
AAEL005129	AAEL005129-RA	40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:Q17B17]	GO:0005840	ribosome
AAEL005129	AAEL005129-RA	40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:Q17B17]	GO:0005515	protein binding
AAEL004415	AAEL004415-RA	fuse-binding protein-interacting repressor siahbp1 [Source:VB Community Annotation]	GO:0003723	RNA binding
AAEL004415	AAEL004415-RA	fuse-binding protein-interacting repressor siahbp1 [Source:VB Community Annotation]	GO:0003676	nucleic acid binding
AAEL007780	AAEL007780-RA			
AAEL013499	AAEL013499-RA	prophenoloxidase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
AAEL013499	AAEL013499-RA	prophenoloxidase [Source:VB Community Annotation]	GO:0046872	metal ion binding
AAEL013499	AAEL013499-RA	prophenoloxidase [Source:VB Community Annotation]	GO:0008152	metabolic process
AAEL017537	AAEL017537-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:J9EA84]	GO:0016020	membrane
AAEL017537	AAEL017537-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:J9EA84]	GO:0016021	integral component of membrane
AAEL017537	AAEL017537-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:J9EA84]	GO:0005886	plasma membrane
AAEL017537	AAEL017537-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:J9EA84]	GO:0004984	olfactory receptor activity
AAEL017537	AAEL017537-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:J9EA84]	GO:0005549	odorant binding
AAEL017537	AAEL017537-RA	Odorant receptor [Source:UniProtKB/TrEMBL;Acc:J9EA84]	GO:0007608	sensory perception of smell
AAEL007464	AAEL007464-RA		GO:0008270	zinc ion binding
AAEL007464	AAEL007464-RA		GO:0005634	nucleus
AAEL007464	AAEL007464-RA		GO:0003676	nucleic acid binding
AAEL006594	AAEL006594-RA	serine-type enodpeptidase, [Source:VB Community Annotation]	GO:0006508	proteolysis
AAEL006594	AAEL006594-RA	serine-type enodpeptidase, [Source:VB Community Annotation]	GO:0004252	serine-type endopeptidase activity
AAEL001415	AAEL001415-RA			
AAEL001480	AAEL001480-RA	phosphoglucomutase [Source:VB Community Annotation]	GO:0005975	carbohydrate metabolic process
AAEL001480	AAEL001480-RA	phosphoglucomutase [Source:VB Community Annotation]	GO:0000287	magnesium ion binding
AAEL001480	AAEL001480-RA	phosphoglucomutase [Source:VB Community Annotation]	GO:0071704	organic substance metabolic process
AAEL001480	AAEL001480-RA	phosphoglucomutase [Source:VB Community Annotation]	GO:0016868	intramolecular transferase activity, phosphotransferases
AAEL013900	AAEL013900-RA	cAMP and cAMP-inhibited cgmp 3,5-cyclic phosphodiesterase [Source:VB Community Annotation]	GO:0007165	signal transduction
AAEL013900	AAEL013900-RA	cAMP and cAMP-inhibited cgmp 3,5-cyclic phosphodiesterase [Source:VB Community Annotation]	GO:0046872	metal ion binding
AAEL013900	AAEL013900-RA	cAMP and cAMP-inhibited cgmp 3,5-cyclic phosphodiesterase [Source:VB Community Annotation]	GO:0004114	3',5'-cyclic-nucleotide phosphodiesterase activity
AAEL013900	AAEL013900-RA	cAMP and cAMP-inhibited cgmp 3,5-cyclic phosphodiesterase [Source:VB Community Annotation]	GO:0008081	phosphoric diester hydrolase activity
AAEL013900	AAEL013900-RA	cAMP and cAMP-inhibited cgmp 3,5-cyclic phosphodiesterase [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL008025	AAEL008025-RA			
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0055114	oxidation-reduction process
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0050660	flavin adenine dinucleotide binding
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0003824	catalytic activity
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0005777	peroxisome
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0008610	lipid biosynthetic process
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0008609	alkylglycerone-phosphate synthase activity
AAEL007793	AAEL007793-RA	alkyldihydroxyacetonephosphate synthase [Source:VB Community Annotation]	GO:0008611	ether lipid biosynthetic process
AAEL007408	AAEL007408-RA			
AAEL006492	AAEL006492-RA	centrin, putative [Source:VB Community Annotation]	GO:0005509	calcium ion binding
AAEL001309	AAEL001309-RA			
AAEL007487	AAEL007487-RA		GO:0003723	RNA binding
AAEL007487	AAEL007487-RA		GO:0009982	pseudouridine synthase activity
AAEL007487	AAEL007487-RA		GO:0001522	pseudouridine synthesis
AAEL007487	AAEL007487-RA		GO:0009451	RNA modification
AAEL004967	AAEL004967-RA	myo inositol monophosphatase [Source:VB Community Annotation]	GO:0046854	phosphatidylinositol phosphorylation
AAEL004967	AAEL004967-RA	myo inositol monophosphatase [Source:VB Community Annotation]	GO:0008934	inositol monophosphate 1-phosphatase activity
AAEL004967	AAEL004967-RA	myo inositol monophosphatase [Source:VB Community Annotation]	GO:0046855	inositol phosphate dephosphorylation
AAEL014905	AAEL014905-RA			
AAEL011682	AAEL011682-RA	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein) [Source:VB Community Annotation]	GO:0016020	membrane
AAEL011682	AAEL011682-RA	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein) [Source:VB Community Annotation]	GO:0006810	transport
AAEL011682	AAEL011682-RA	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein) [Source:VB Community Annotation]	GO:0015031	protein transport
AAEL011682	AAEL011682-RA	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein) [Source:VB Community Annotation]	GO:0005643	nuclear pore
AAEL011682	AAEL011682-RA	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein) [Source:VB Community Annotation]	GO:0051028	mRNA transport
AAEL011682	AAEL011682-RA	nuclear pore complex protein nup93 (nucleoporin nup93) (dead eye protein) [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL009840	AAEL009840-RA		GO:0016021	integral component of membrane
AAEL007930	AAEL007930-RA	sugar transporter [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL007930	AAEL007930-RA	sugar transporter [Source:VB Community Annotation]	GO:0055085	transmembrane transport
AAEL011880	AAEL011880-RA			
AAEL003892	AAEL003892-RA			
AAEL000591	AAEL000591-RA			
AAEL004215	AAEL004215-RA			
AAEL001274	AAEL001274-RA			
AAEL001713	AAEL001713-RA	fibrinogen and fibronectin [Source:VB Community Annotation]		
AAEL014572	AAEL014572-RA	tetraspanin 97e [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL011803	AAEL011803-RA	prohibitin, putative [Source:VB Community Annotation]	GO:0016020	membrane
AAEL011803	AAEL011803-RA	prohibitin, putative [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL001718	AAEL001718-RA		GO:0016021	integral component of membrane
AAEL007629	AAEL007629-RA			
AAEL008690	AAEL008690-RA		GO:0008270	zinc ion binding
AAEL007565	AAEL007565-RA	leucine rich protein, putative [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL003116	AAEL003116-RA	phosrestin i (arrestin b) (arrestin 2) [Source:VB Community Annotation]	GO:0007165	signal transduction
AAEL013304	AAEL013304-RA		GO:0016021	integral component of membrane
AAEL013077	AAEL013077-RA		GO:0016021	integral component of membrane
AAEL003606	AAEL003606-RA	purine biosynthesis protein 6, pur6 [Source:VB Community Annotation]	GO:0006189	'de novo' IMP biosynthetic process
AAEL003606	AAEL003606-RA	purine biosynthesis protein 6, pur6 [Source:VB Community Annotation]	GO:0006164	purine nucleotide biosynthetic process
AAEL003606	AAEL003606-RA	purine biosynthesis protein 6, pur6 [Source:VB Community Annotation]	GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity
AAEL006389	AAEL006389-RA	cathepsin l [Source:VB Community Annotation]	GO:0006508	proteolysis
AAEL006389	AAEL006389-RA	cathepsin l [Source:VB Community Annotation]	GO:0008234	cysteine-type peptidase activity
AAEL000107	AAEL000107-RA		GO:0008270	zinc ion binding
AAEL000107	AAEL000107-RA		GO:0005634	nucleus
AAEL000107	AAEL000107-RA		GO:0003676	nucleic acid binding
AAEL001095	AAEL001095-RA		GO:0005515	protein binding
AAEL009235	AAEL009235-RA		GO:0003677	DNA binding
AAEL009235	AAEL009235-RA		GO:0006355	regulation of transcription, DNA-templated
AAEL009235	AAEL009235-RA		GO:0003676	nucleic acid binding
AAEL004454	AAEL004454-RA			
AAEL014558	AAEL014558-RA			
AAEL014558	AAEL014558-RB			
AAEL008327	AAEL008327-RA	huntingtin-interacting protein, putative [Source:VB Community Annotation]		
AAEL003059	AAEL003059-RA			
AAEL014434	AAEL014434-RA			
AAEL013569	AAEL013569-RA			
AAEL015197	AAEL015197-RA		GO:0003677	DNA binding
AAEL015197	AAEL015197-RA		GO:0005634	nucleus
AAEL001062	AAEL001062-RA			
AAEL011262	AAEL011262-RA			
AAEL004642	AAEL004642-RA			
AAEL013990	AAEL013990-RA	hexamerin 2 beta [Source:VB Community Annotation]		
AAEL006860	AAEL006860-RA	40S ribosomal protein S28 [Source:VB Community Annotation]	GO:0003735	structural constituent of ribosome
AAEL006860	AAEL006860-RA	40S ribosomal protein S28 [Source:VB Community Annotation]	GO:0006412	translation
AAEL006860	AAEL006860-RA	40S ribosomal protein S28 [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL006860	AAEL006860-RA	40S ribosomal protein S28 [Source:VB Community Annotation]	GO:0005840	ribosome
AAEL005713	AAEL005713-RA			
AAEL015335	AAEL015335-RA		GO:0016021	integral component of membrane
AAEL015335	AAEL015335-RA		GO:0005789	endoplasmic reticulum membrane
AAEL015335	AAEL015335-RA		GO:0019915	lipid storage
AAEL000341	AAEL000341-RA	basic helix-loop-helix protein [Source:VB Community Annotation]	GO:0046983	protein dimerization activity
AAEL009306	AAEL009306-RA		GO:0030014	CCR4-NOT complex
AAEL000139	AAEL000139-RA	odorant binding protein OBP5 [Source:VB Community Annotation]		
AAEL006242	AAEL006242-RA	beta chain spectrin [Source:VB Community Annotation]	GO:0005543	phospholipid binding
AAEL006242	AAEL006242-RA	beta chain spectrin [Source:VB Community Annotation]	GO:0003779	actin binding
AAEL006242	AAEL006242-RA	beta chain spectrin [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL007895	AAEL007895-RA	beta-1,4-galactosyltransferase [Source:VB Community Annotation]	GO:0005975	carbohydrate metabolic process
AAEL007895	AAEL007895-RA	beta-1,4-galactosyltransferase [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL007895	AAEL007895-RA	beta-1,4-galactosyltransferase [Source:VB Community Annotation]	GO:0016757	transferase activity, transferring glycosyl groups
AAEL007895	AAEL007895-RB	beta-1,4-galactosyltransferase [Source:VB Community Annotation]	GO:0005975	carbohydrate metabolic process
AAEL007895	AAEL007895-RB	beta-1,4-galactosyltransferase [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL007895	AAEL007895-RB	beta-1,4-galactosyltransferase [Source:VB Community Annotation]	GO:0016757	transferase activity, transferring glycosyl groups
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0005524	ATP binding
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0006468	protein phosphorylation
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0004674	protein serine/threonine kinase activity
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0004672	protein kinase activity
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0005516	calmodulin binding
AAEL013824	AAEL013824-RA	calcium/calmodulin dependent protein kinase ii [Source:VB Community Annotation]	GO:0004683	calmodulin-dependent protein kinase activity
AAEL006826	AAEL006826-RA		GO:0005576	extracellular region
AAEL006826	AAEL006826-RA		GO:0006644	phospholipid metabolic process
AAEL006826	AAEL006826-RA		GO:0004623	phospholipase A2 activity
AAEL006826	AAEL006826-RA		GO:0050482	arachidonic acid secretion
AAEL000745	AAEL000745-RA			
AAEL018244	AAEL018244-RA		GO:0003677	DNA binding
AAEL018244	AAEL018244-RA		GO:0005524	ATP binding
AAEL018244	AAEL018244-RA		GO:0006265	DNA topological change
AAEL018244	AAEL018244-RA		GO:0003918	DNA topoisomerase type II (ATP-hydrolyzing) activity
AAEL018244	AAEL018244-RA		GO:0006259	DNA metabolic process
AAEL002050	AAEL002050-RB	Nitric oxide synthase-interacting protein homolog [Source:UniProtKB/TrEMBL;Acc:Q17JB3]	GO:0005634	nucleus
AAEL002050	AAEL002050-RB	Nitric oxide synthase-interacting protein homolog [Source:UniProtKB/TrEMBL;Acc:Q17JB3]	GO:0005737	cytoplasm
AAEL002050	AAEL002050-RB	Nitric oxide synthase-interacting protein homolog [Source:UniProtKB/TrEMBL;Acc:Q17JB3]	GO:0050999	regulation of nitric-oxide synthase activity
AAEL012086	AAEL012086-RA	leucine-rich immune protein (Long) [Source:VB Community Annotation]	GO:0005515	protein binding
AAEL003209	AAEL003209-RA	lachesin [Source:VB Community Annotation]		
AAEL000697	AAEL000697-RA			
AAEL000697	AAEL000697-RB			
AAEL007428	AAEL007428-RA			
AAEL000519	AAEL000519-RA			
AAEL000519	AAEL000519-RB		GO:0016021	integral component of membrane
AAEL014911	AAEL014911-RA	synaptic vesicle protein [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL014911	AAEL014911-RA	synaptic vesicle protein [Source:VB Community Annotation]	GO:0055085	transmembrane transport
AAEL009981	AAEL009981-RA	chaperone atp11p [Source:VB Community Annotation]	GO:0005739	mitochondrion
AAEL009981	AAEL009981-RA	chaperone atp11p [Source:VB Community Annotation]	GO:0006461	protein complex assembly
AAEL009078	AAEL009078-RA	NADH-ubiquinone oxidoreductase sgdh subunit [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL000873	AAEL000873-RA	pickpocket [Source:VB Community Annotation]	GO:0016020	membrane
AAEL000873	AAEL000873-RA	pickpocket [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL000873	AAEL000873-RA	pickpocket [Source:VB Community Annotation]	GO:0006814	sodium ion transport
AAEL000873	AAEL000873-RA	pickpocket [Source:VB Community Annotation]	GO:0005272	sodium channel activity
AAEL013573	AAEL013573-RA	pickpocket [Source:VB Community Annotation]	GO:0016020	membrane
AAEL013573	AAEL013573-RA	pickpocket [Source:VB Community Annotation]	GO:0016021	integral component of membrane
AAEL013573	AAEL013573-RA	pickpocket [Source:VB Community Annotation]	GO:0006814	sodium ion transport
AAEL013573	AAEL013573-RA	pickpocket [Source:VB Community Annotation]	GO:0005272	sodium channel activity
AAEL007776	AAEL007776-RA			
AAEL004807	AAEL004807-RA			
AAEL000854	AAEL000854-RA	fumarylacetoacetate hydrolase [Source:VB Community Annotation]	GO:0003824	catalytic activity
AAEL000854	AAEL000854-RA	fumarylacetoacetate hydrolase [Source:VB Community Annotation]	GO:0008152	metabolic process
AAEL005339	AAEL005339-RA	hepatocyte growth factor-regulated tyrosine kinase substrate (hgs) [Source:VB Community Annotation]	GO:0005622	intracellular
AAEL005339	AAEL005339-RA	hepatocyte growth factor-regulated tyrosine kinase substrate (hgs) [Source:VB Community Annotation]	GO:0006886	intracellular protein transport
AAEL005339	AAEL005339-RA	hepatocyte growth factor-regulated tyrosine kinase substrate (hgs) [Source:VB Community Annotation]	GO:0046872	metal ion binding
AAEL017081	AAEL017081-RB		GO:0005507	copper ion binding
AAEL017081	AAEL017081-RB		GO:0016531	copper chaperone activity
AAEL017081	AAEL017081-RB		GO:0006825	copper ion transport
AAEL017081	AAEL017081-RB		GO:0005758	mitochondrial intermembrane space
AAEL017081	AAEL017081-RA		GO:0005507	copper ion binding
AAEL017081	AAEL017081-RA		GO:0016531	copper chaperone activity
AAEL017081	AAEL017081-RA		GO:0006825	copper ion transport
AAEL017081	AAEL017081-RA		GO:0005758	mitochondrial intermembrane space
AAEL006575	AAEL006575-RB	troponin C [Source:VB Community Annotation]	GO:0005509	calcium ion binding
AAEL006575	AAEL006575-RC	troponin C [Source:VB Community Annotation]	GO:0005509	calcium ion binding
AAEL006575	AAEL006575-RA	troponin C [Source:VB Community Annotation]	GO:0005509	calcium ion binding
AAEL010829	AAEL010829-RA	protein arginine n-methyltransferase [Source:VB Community Annotation]	GO:0008168	methyltransferase activity
AAEL010829	AAEL010829-RA	protein arginine n-methyltransferase [Source:VB Community Annotation]	GO:0006479	protein methylation
AAEL003564	AAEL003564-RA	threonine dehydratase/deaminase [Source:VB Community Annotation]	GO:0004794	L-threonine ammonia-lyase activity
AAEL003564	AAEL003564-RA	threonine dehydratase/deaminase [Source:VB Community Annotation]	GO:0006567	threonine catabolic process
AAEL013104	AAEL013104-RA		GO:0005515	protein binding
AAEL013640	AAEL013640-RA	lung carbonyl reductase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
AAEL003340	AAEL003340-RA		GO:0016021	integral component of membrane
AAEL012199	AAEL012199-RA	lipase 1 precursor [Source:VB Community Annotation]	GO:0016788	hydrolase activity, acting on ester bonds
AAEL012199	AAEL012199-RA	lipase 1 precursor [Source:VB Community Annotation]	GO:0006629	lipid metabolic process
