NCBI gene ID	Gene description	GOSlim GOA Accession(s)	GOSlim GOA Description
110677770		GO:0043167	ion binding
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0003674	molecular_function
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0006412	translation
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0008150	biological_process
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0030234	enzyme regulator activity
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0019899	enzyme binding
5567583	translational activator gcn1 [Source:VB Community Annotation]	GO:0006464	cellular protein modification process
5565434		GO:0003674	molecular_function
5575822	leucine-rich repeat [Source:VB Community Annotation]	GO:0003674	molecular_function
5575822	leucine-rich repeat [Source:VB Community Annotation]	GO:0005575	cellular_component
5568763	tartan [Source:VB Community Annotation]	GO:0003674	molecular_function
5568763	tartan [Source:VB Community Annotation]	GO:0005575	cellular_component
5571203	sulfotransferase (sult) [Source:VB Community Annotation]	GO:0003674	molecular_function
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0003924	GTPase activity
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0003674	molecular_function
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0005622	intracellular
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0005623	cell
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0043167	ion binding
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0005575	cellular_component
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0005737	cytoplasm
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0005198	structural molecule activity
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0005856	cytoskeleton
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0043226	organelle
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0007010	cytoskeleton organization
110676765	Tubulin beta chain [Source:UniProtKB/TrEMBL;Acc:Q0PHP3]	GO:0008150	biological_process
5574899	pupal cuticle protein, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5574899	pupal cuticle protein, putative [Source:VB Community Annotation]	GO:0005198	structural molecule activity
5563914	zinc binding dehydrogenase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
5563914	zinc binding dehydrogenase [Source:VB Community Annotation]	GO:0008150	biological_process
5563914	zinc binding dehydrogenase [Source:VB Community Annotation]	GO:0003674	molecular_function
5571648	multicopper oxidase [Source:VB Community Annotation]	GO:0003674	molecular_function
5571648	multicopper oxidase [Source:VB Community Annotation]	GO:0043167	ion binding
5571648	multicopper oxidase [Source:VB Community Annotation]	GO:0008150	biological_process
5571648	multicopper oxidase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
23687870	gustatory receptor Gr60 [Source:VB Community Annotation]	GO:0050877	nervous system process
23687870	gustatory receptor Gr60 [Source:VB Community Annotation]	GO:0008150	biological_process
23687870	gustatory receptor Gr60 [Source:VB Community Annotation]	GO:0005575	cellular_component
5576623		GO:0005576	extracellular region
5576623		GO:0005575	cellular_component
5576623		GO:0008150	biological_process
5576623		GO:0003674	molecular_function
5568834		GO:0003674	molecular_function
5575405		GO:0009058	biosynthetic process
5575405		GO:0008150	biological_process
5575405		GO:0034641	cellular nitrogen compound metabolic process
5567388	potassium channel interacting protein [Source:VB Community Annotation]	GO:0043167	ion binding
5567388	potassium channel interacting protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5564275		GO:0005575	cellular_component
5564275		GO:0008150	biological_process
5564275		GO:0007165	signal transduction
5564275		GO:0003674	molecular_function
5563733		GO:0003674	molecular_function
5563733		GO:0005622	intracellular
5563733		GO:0005575	cellular_component
5563733		GO:0005623	cell
5563733		GO:0043226	organelle
5563733		GO:0005634	nucleus
5563733		GO:0043167	ion binding
5578105		GO:0003674	molecular_function
5572522		GO:0005575	cellular_component
5571283	Monocarboxylate transporter [Source:UniProtKB/TrEMBL;Acc:A0A1S4EZ55]	GO:0005575	cellular_component
5571283	Monocarboxylate transporter [Source:UniProtKB/TrEMBL;Acc:A0A1S4EZ55]	GO:0008150	biological_process
5571283	Monocarboxylate transporter [Source:UniProtKB/TrEMBL;Acc:A0A1S4EZ55]	GO:0006810	transport
5571283	Monocarboxylate transporter [Source:UniProtKB/TrEMBL;Acc:A0A1S4EZ55]	GO:0055085	transmembrane transport
23687959	cytochrome P450 [Source:VB Community Annotation]	GO:0008150	biological_process
23687959	cytochrome P450 [Source:VB Community Annotation]	GO:0043167	ion binding
23687959	cytochrome P450 [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
23687959	cytochrome P450 [Source:VB Community Annotation]	GO:0003674	molecular_function
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0003674	molecular_function
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0003677	DNA binding
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0006259	DNA metabolic process
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0008150	biological_process
5571978	replication factor c / DNA polymerase iii gamma-tau subunit [Source:VB Community Annotation]	GO:0043167	ion binding
5572673	aldehyde dehydrogenase [Source:VB Community Annotation]	GO:0016491	oxidoreductase activity
5572673	aldehyde dehydrogenase [Source:VB Community Annotation]	GO:0008150	biological_process
5572673	aldehyde dehydrogenase [Source:VB Community Annotation]	GO:0003674	molecular_function
5580105		GO:0003674	molecular_function
5580105		GO:0003723	RNA binding
5564262	O-fucosyltransferase, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5564262	O-fucosyltransferase, putative [Source:VB Community Annotation]	GO:0008150	biological_process
5564262	O-fucosyltransferase, putative [Source:VB Community Annotation]	GO:0044281	small molecule metabolic process
5564262	O-fucosyltransferase, putative [Source:VB Community Annotation]	GO:0005975	carbohydrate metabolic process
5564262	O-fucosyltransferase, putative [Source:VB Community Annotation]	GO:0016757	transferase activity, transferring glycosyl groups
5567187		GO:0016491	oxidoreductase activity
5567187		GO:0003674	molecular_function
5565823	ornithine decarboxylase [Source:VB Community Annotation]	GO:0003674	molecular_function
5565823	ornithine decarboxylase [Source:VB Community Annotation]	GO:0008150	biological_process
5565823	ornithine decarboxylase [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5565823	ornithine decarboxylase [Source:VB Community Annotation]	GO:0009058	biosynthetic process
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
110680602	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
5566890	nervous fingers, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5567694	tetraspanin, putative [Source:VB Community Annotation]	GO:0005575	cellular_component
5571621	core 1 UDP-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase [Source:VB Community Annotation]	GO:0005575	cellular_component
5571621	core 1 UDP-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase [Source:VB Community Annotation]	GO:0006464	cellular protein modification process
5571621	core 1 UDP-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase [Source:VB Community Annotation]	GO:0016757	transferase activity, transferring glycosyl groups
5571621	core 1 UDP-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5571621	core 1 UDP-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase [Source:VB Community Annotation]	GO:0008150	biological_process
5571621	core 1 UDP-galactose:n-acetylgalactosamine-alpha-r beta 1,3- galactosyltransferase [Source:VB Community Annotation]	GO:0003674	molecular_function
5565895		GO:0003674	molecular_function
5567245		GO:0003674	molecular_function
5567245		GO:0019899	enzyme binding
5567245		GO:0007165	signal transduction
5567245		GO:0008150	biological_process
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0003677	DNA binding
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0005575	cellular_component
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0005622	intracellular
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0005634	nucleus
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0043226	organelle
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0005623	cell
5577120	zinc finger protein [Source:VB Community Annotation]	GO:0043167	ion binding
110680707		GO:0055085	transmembrane transport
110680707		GO:0006810	transport
110680707		GO:0008150	biological_process
110680707		GO:0003674	molecular_function
110680707		GO:0005575	cellular_component
110680707		GO:0005623	cell
110680707		GO:0005886	plasma membrane
110680707		GO:0032991	protein-containing complex
110680707		GO:0022857	transmembrane transporter activity
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0005634	nucleus
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0043226	organelle
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0032991	protein-containing complex
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0003677	DNA binding
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0003674	molecular_function
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0005622	intracellular
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0005623	cell
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0005694	chromosome
110678250	Histone H2B [Source:UniProtKB/TrEMBL;Acc:Q17EF1]	GO:0005575	cellular_component
5578709	spliceosome associated protein [Source:VB Community Annotation]	GO:0003723	RNA binding
5578709	spliceosome associated protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5578709	spliceosome associated protein [Source:VB Community Annotation]	GO:0008150	biological_process
5578709	spliceosome associated protein [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
110680758		GO:0003674	molecular_function
5575496		GO:0032991	protein-containing complex
5575496		GO:0005623	cell
5575496		GO:0005634	nucleus
5575496		GO:0005622	intracellular
5575496		GO:0005575	cellular_component
5575496		GO:0043226	organelle
5575496		GO:0005654	nucleoplasm
110674760	Enhancer of rudimentary homolog [Source:UniProtKB/Swiss-Prot;Acc:Q93104]	GO:0034641	cellular nitrogen compound metabolic process
110674760	Enhancer of rudimentary homolog [Source:UniProtKB/Swiss-Prot;Acc:Q93104]	GO:0008150	biological_process
110674760	Enhancer of rudimentary homolog [Source:UniProtKB/Swiss-Prot;Acc:Q93104]	GO:0044281	small molecule metabolic process
110674760	Enhancer of rudimentary homolog [Source:UniProtKB/Swiss-Prot;Acc:Q93104]	GO:0009058	biosynthetic process
110674760	Enhancer of rudimentary homolog [Source:UniProtKB/Swiss-Prot;Acc:Q93104]	GO:0007165	signal transduction
110674760	Enhancer of rudimentary homolog [Source:UniProtKB/Swiss-Prot;Acc:Q93104]	GO:0007049	cell cycle
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0065003	protein-containing complex assembly
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0009058	biosynthetic process
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0034641	cellular nitrogen compound metabolic process
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0008150	biological_process
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0051276	chromosome organization
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0022607	cellular component assembly
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003674	molecular_function
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005575	cellular_component
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005694	chromosome
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005622	intracellular
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005623	cell
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0043226	organelle
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0032991	protein-containing complex
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0003677	DNA binding
110679818	Histone H4 [Source:UniProtKB/TrEMBL;Acc:Q16IE4]	GO:0005634	nucleus
5572489	metalloproteinase, putative [Source:VB Community Annotation]	GO:0008233	peptidase activity
5572489	metalloproteinase, putative [Source:VB Community Annotation]	GO:0043167	ion binding
5572489	metalloproteinase, putative [Source:VB Community Annotation]	GO:0008150	biological_process
5572489	metalloproteinase, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5579222	copper homeostasis protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5579222	copper homeostasis protein [Source:VB Community Annotation]	GO:0043167	ion binding
5579222	copper homeostasis protein [Source:VB Community Annotation]	GO:0008150	biological_process
5579222	copper homeostasis protein [Source:VB Community Annotation]	GO:0042592	homeostatic process
5567544	serine protease, putative [Source:VB Community Annotation]	GO:0008150	biological_process
5567544	serine protease, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5567544	serine protease, putative [Source:VB Community Annotation]	GO:0008233	peptidase activity
5565454		GO:0005575	cellular_component
5565454		GO:0005975	carbohydrate metabolic process
5565454		GO:0008150	biological_process
5565454		GO:0003674	molecular_function
5575377	WD-repeat protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5564916		GO:0005575	cellular_component
5575728	sulphate transporter [Source:VB Community Annotation]	GO:0005575	cellular_component
5575728	sulphate transporter [Source:VB Community Annotation]	GO:0003674	molecular_function
5575728	sulphate transporter [Source:VB Community Annotation]	GO:0055085	transmembrane transport
5575728	sulphate transporter [Source:VB Community Annotation]	GO:0022857	transmembrane transporter activity
5575728	sulphate transporter [Source:VB Community Annotation]	GO:0008150	biological_process
5575728	sulphate transporter [Source:VB Community Annotation]	GO:0006810	transport
110680804		GO:0032991	protein-containing complex
5574717		GO:0032991	protein-containing complex
110680804		GO:0006464	cellular protein modification process
5574717		GO:0006464	cellular protein modification process
110680804		GO:0009058	biosynthetic process
5574717		GO:0009058	biosynthetic process
110680804		GO:0006629	lipid metabolic process
5574717		GO:0006629	lipid metabolic process
110680804		GO:0008150	biological_process
5574717		GO:0008150	biological_process
110680804		GO:0005575	cellular_component
5574717		GO:0005575	cellular_component
110680804		GO:0005783	endoplasmic reticulum
5574717		GO:0005783	endoplasmic reticulum
110680804		GO:0043226	organelle
5574717		GO:0043226	organelle
110680804		GO:0005737	cytoplasm
5574717		GO:0005737	cytoplasm
110680804		GO:0005622	intracellular
5574717		GO:0005622	intracellular
110680804		GO:0005623	cell
5574717		GO:0005623	cell
5566747		GO:0003674	molecular_function
5576045	fk506 binding protein [Source:VB Community Annotation]	GO:0006464	cellular protein modification process
5576045	fk506 binding protein [Source:VB Community Annotation]	GO:0008150	biological_process
5576045	fk506 binding protein [Source:VB Community Annotation]	GO:0016853	isomerase activity
5576045	fk506 binding protein [Source:VB Community Annotation]	GO:0003674	molecular_function
5576045	fk506 binding protein [Source:VB Community Annotation]	GO:0005575	cellular_component
5577533	vesicular acetylcholine transporter [Source:VB Community Annotation]	GO:0005575	cellular_component
5577533	vesicular acetylcholine transporter [Source:VB Community Annotation]	GO:0006810	transport
5577533	vesicular acetylcholine transporter [Source:VB Community Annotation]	GO:0008150	biological_process
5577533	vesicular acetylcholine transporter [Source:VB Community Annotation]	GO:0055085	transmembrane transport
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0008150	biological_process
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0007165	signal transduction
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0006464	cellular protein modification process
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0005575	cellular_component
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0016301	kinase activity
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0043167	ion binding
5564544	epidermal growth factor receptor [Source:VB Community Annotation]	GO:0003674	molecular_function
5576180	odorant binding protein OBP55 [Source:VB Community Annotation]	GO:0003674	molecular_function
5574521	xenotropic and polytropic murine leukemia virus receptor xpr1 [Source:VB Community Annotation]	GO:0005575	cellular_component
110674133		GO:0005198	structural molecule activity
110674133		GO:0003674	molecular_function
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0016853	isomerase activity
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0005737	cytoplasm
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0005623	cell
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0005622	intracellular
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0005575	cellular_component
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0003674	molecular_function
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0008150	biological_process
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5572080	phosphomannomutase [Source:VB Community Annotation]	GO:0044281	small molecule metabolic process
5568845	5'-AMP-activated protein kinase, catalytic alpha-1 chain [Source:VB Community Annotation]	GO:0006464	cellular protein modification process
5568845	5'-AMP-activated protein kinase, catalytic alpha-1 chain [Source:VB Community Annotation]	GO:0008150	biological_process
5568845	5'-AMP-activated protein kinase, catalytic alpha-1 chain [Source:VB Community Annotation]	GO:0043167	ion binding
5568845	5'-AMP-activated protein kinase, catalytic alpha-1 chain [Source:VB Community Annotation]	GO:0016301	kinase activity
5568845	5'-AMP-activated protein kinase, catalytic alpha-1 chain [Source:VB Community Annotation]	GO:0003674	molecular_function
5571113		GO:0003674	molecular_function
5571113		GO:0007165	signal transduction
5571113		GO:0008150	biological_process
5571113		GO:0019899	enzyme binding
5567562	runt [Source:VB Community Annotation]	GO:0043167	ion binding
5567562	runt [Source:VB Community Annotation]	GO:0005575	cellular_component
5567562	runt [Source:VB Community Annotation]	GO:0005623	cell
5567562	runt [Source:VB Community Annotation]	GO:0005622	intracellular
5567562	runt [Source:VB Community Annotation]	GO:0005634	nucleus
5567562	runt [Source:VB Community Annotation]	GO:0043226	organelle
5567562	runt [Source:VB Community Annotation]	GO:0003674	molecular_function
5567562	runt [Source:VB Community Annotation]	GO:0003677	DNA binding
5567562	runt [Source:VB Community Annotation]	GO:0003700	DNA-binding transcription factor activity
5567562	runt [Source:VB Community Annotation]	GO:0034641	cellular nitrogen compound metabolic process
5567562	runt [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5567562	runt [Source:VB Community Annotation]	GO:0008150	biological_process
5575760		GO:0009058	biosynthetic process
5575760		GO:0034641	cellular nitrogen compound metabolic process
5575760		GO:0008150	biological_process
5575760		GO:0043226	organelle
5575760		GO:0005634	nucleus
5575760		GO:0005575	cellular_component
5575760		GO:0005737	cytoplasm
5575760		GO:0005622	intracellular
5575760		GO:0005623	cell
5575760		GO:0003674	molecular_function
110680882		GO:0003674	molecular_function
110676534		GO:0003674	molecular_function
110676534		GO:0043167	ion binding
110678604		GO:0005623	cell
110678604		GO:0005634	nucleus
110678604		GO:0043226	organelle
110678604		GO:0005622	intracellular
110678604		GO:0005575	cellular_component
110678604		GO:0043167	ion binding
110678604		GO:0003674	molecular_function
5578192		GO:0005575	cellular_component
5565327		GO:0051301	cell division
5565327		GO:0008150	biological_process
5577794		GO:0055085	transmembrane transport
5577794		GO:0065003	protein-containing complex assembly
5577794		GO:0008150	biological_process
5577794		GO:0006810	transport
5577794		GO:0022607	cellular component assembly
5577794		GO:0003674	molecular_function
5577794		GO:0022857	transmembrane transporter activity
5577794		GO:0005575	cellular_component
5574101		GO:0003674	molecular_function
5571944	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]	GO:0005575	cellular_component
5564889		GO:0005575	cellular_component
5564889		GO:0022857	transmembrane transporter activity
5564889		GO:0055085	transmembrane transport
5564889		GO:0006810	transport
5564889		GO:0008150	biological_process
5564889		GO:0003674	molecular_function
5574694		GO:0003674	molecular_function
5574694		GO:0005576	extracellular region
5574694		GO:0005575	cellular_component
5574694		GO:0008150	biological_process
5569396	trypsin [Source:VB Community Annotation]	GO:0008150	biological_process
5569396	trypsin [Source:VB Community Annotation]	GO:0003674	molecular_function
5569396	trypsin [Source:VB Community Annotation]	GO:0008233	peptidase activity
5569158		GO:0043167	ion binding
5569158		GO:0016491	oxidoreductase activity
5569158		GO:0008150	biological_process
5569158		GO:0003674	molecular_function
5579107		GO:0003674	molecular_function
5579107		GO:0008168	methyltransferase activity
5579107		GO:0006412	translation
5579107		GO:0008150	biological_process
5579107		GO:0009058	biosynthetic process
5579107		GO:0034641	cellular nitrogen compound metabolic process
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0006464	cellular protein modification process
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0006629	lipid metabolic process
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0008150	biological_process
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0005623	cell
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0005622	intracellular
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0005575	cellular_component
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0005737	cytoplasm
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0005783	endoplasmic reticulum
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0043226	organelle
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0003674	molecular_function
5564018	glycosyltransferase [Source:VB Community Annotation]	GO:0016757	transferase activity, transferring glycosyl groups
5566689	developmentally regulated GTP-binding protein 1 (drg 1) [Source:VB Community Annotation]	GO:0043167	ion binding
5566689	developmentally regulated GTP-binding protein 1 (drg 1) [Source:VB Community Annotation]	GO:0003674	molecular_function
5564537	peptide n-glycanase (pngase) [Source:VB Community Annotation]	GO:0008150	biological_process
5564537	peptide n-glycanase (pngase) [Source:VB Community Annotation]	GO:0009056	catabolic process
5564537	peptide n-glycanase (pngase) [Source:VB Community Annotation]	GO:0005575	cellular_component
5564537	peptide n-glycanase (pngase) [Source:VB Community Annotation]	GO:0005622	intracellular
5564537	peptide n-glycanase (pngase) [Source:VB Community Annotation]	GO:0005623	cell
5564537	peptide n-glycanase (pngase) [Source:VB Community Annotation]	GO:0005737	cytoplasm
5577803		GO:0003674	molecular_function
5578663	sodium/chloride dependent amino acid transporter [Source:VB Community Annotation]	GO:0003674	molecular_function
5578663	sodium/chloride dependent amino acid transporter [Source:VB Community Annotation]	GO:0022857	transmembrane transporter activity
5578663	sodium/chloride dependent amino acid transporter [Source:VB Community Annotation]	GO:0005575	cellular_component
5578222		GO:0003674	molecular_function
5566763	eukaryotic translation initiation factor 2C [Source:VB Community Annotation]	GO:0003674	molecular_function
110677796		GO:0003677	DNA binding
110677796		GO:0043226	organelle
110677796		GO:0032991	protein-containing complex
110677796		GO:0003674	molecular_function
110677796		GO:0005622	intracellular
110677796		GO:0005623	cell
110677796		GO:0005694	chromosome
110677796		GO:0005575	cellular_component
110677796		GO:0005634	nucleus
110677796		GO:0065003	protein-containing complex assembly
110677796		GO:0008150	biological_process
110677796		GO:0051276	chromosome organization
110677796		GO:0022607	cellular component assembly
5578161	elongase, putative [Source:VB Community Annotation]	GO:0009058	biosynthetic process
5578161	elongase, putative [Source:VB Community Annotation]	GO:0006629	lipid metabolic process
5578161	elongase, putative [Source:VB Community Annotation]	GO:0016746	transferase activity, transferring acyl groups
5578161	elongase, putative [Source:VB Community Annotation]	GO:0008150	biological_process
5578161	elongase, putative [Source:VB Community Annotation]	GO:0044281	small molecule metabolic process
5578161	elongase, putative [Source:VB Community Annotation]	GO:0003674	molecular_function
5578161	elongase, putative [Source:VB Community Annotation]	GO:0005575	cellular_component
5579820	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q179S1]	GO:0003674	molecular_function
5579820	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q179S1]	GO:0008150	biological_process
5579820	Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q179S1]	GO:0044281	small molecule metabolic process
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0008150	biological_process
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0009056	catabolic process
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0003674	molecular_function
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0008233	peptidase activity
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0005575	cellular_component
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0005622	intracellular
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0005623	cell
5574484	Proteasome subunit beta [Source:UniProtKB/TrEMBL;Acc:Q17IE3]	GO:0032991	protein-containing complex
